roll,pitch,yaw,xaccel,yaccel,zaccel
-9.118,-2.082,2.608,0.032,0.031,0.983
-8.4,-0.42,-0.437,0.051,0.028,1.05
-22.312,-1.803,-0.665,0.029,0.009,0.997
-13.563,5.687,-1.908,0.085,-0.006,0.999
-10.745,1.732,-0.788,0.041,-0.014,0.94
0.63,-4.952,2.835,0.051,-0.072,0.981
-4.358,-4.97,8.033,0.051,-0.07,1.003
0.945,-1.12,12.705,0.048,-0.066,1.023
-2.485,1.663,15.313,0.032,-0.071,1.0
9.363,-1.155,19.827,0.031,-0.065,0.994
11.533,-1.207,23.94,0.055,-0.066,1.012
6.125,0.577,25.445,0.057,-0.048,0.996
8.977,0.507,28.507,0.073,-0.02,0.978
12.67,-4.06,32.585,0.057,-0.029,0.979
12.127,-5.11,33.6,0.065,-0.01,1.012
9.573,-0.437,34.615,0.05,0.002,1.023
9.975,3.5,35.472,0.065,0.02,0.99
15.208,-0.577,37.292,0.056,0.03,0.996
9.783,-3.675,35.612,0.064,0.032,0.999
0.98,-3.43,32.165,0.079,0.045,0.982
2.503,-2.17,30.415,0.076,0.056,0.962
4.69,-5.11,26.653,0.075,0.039,0.973
0.613,-4.707,21.577,0.102,0.031,0.996
-0.49,-0.262,19.792,0.092,0.041,0.988
4.445,-3.885,17.43,0.084,0.041,0.95
4.778,-7.91,17.36,0.092,0.024,0.997
-2.713,-3.43,15.347,0.105,0.021,1.012
0.822,-0.35,17.097,0.087,0.034,0.992
1.768,-1.067,14.613,0.083,0.031,0.991
4.515,-0.455,13.09,0.091,0.022,0.996
6.983,0.56,14.648,0.096,0.01,1.007
3.342,-0.035,14.507,0.101,0.011,0.989
4.883,0.858,15.575,0.099,-0.001,1.006
2.713,3.85,16.817,0.081,0.008,0.986
3.15,0.717,17.85,0.087,0.019,0.981
6.58,-1.785,19.337,0.098,0.023,0.981
3.727,-0.805,19.722,0.1,0.032,0.996
7.42,1.155,22.82,0.106,0.041,0.989
10.028,2.047,23.888,0.084,0.051,0.987
6.213,0.018,22.12,0.117,0.06,0.974
1.628,-0.577,21.228,0.129,0.064,0.98
5.11,-0.035,19.862,0.099,0.052,0.976
6.02,-4.218,17.868,0.102,0.052,0.972
0.595,-4.497,17.57,0.119,0.053,0.992
4.287,-5.425,18.323,0.105,0.054,0.985
-5.302,-0.192,13.055,0.125,0.041,1.064
-7.858,7.84,11.27,0.127,0.058,0.957
3.902,-3.325,13.212,0.122,0.05,0.961
-2.082,-6.878,7.193,0.116,0.057,0.991
-2.24,0.717,1.19,0.12,0.067,0.992
3.027,-0.49,-2.065,0.115,0.06,0.991
1.155,-0.455,-4.935,0.126,0.026,1.009
0.42,1.68,-2.922,0.127,0.027,1.001
0.157,2.608,-3.465,0.122,0.051,0.995
0.49,4.34,-9.118,0.126,0.06,1.001
1.487,3.745,-14.28,0.097,0.065,0.969
0.77,1.715,-20.212,0.114,0.047,0.975
-2.678,-0.035,-23.695,0.125,0.041,0.993
-0.228,-0.875,-24.517,0.104,0.032,0.997
-6.965,-1.663,-26.093,0.092,0.021,0.998
-5.775,0.437,-26.862,0.101,0.025,1.005
-6.807,0.962,-28.157,0.126,0.033,1.006
-5.653,4.742,-30.73,0.086,0.018,0.998
-4.2,2.398,-31.587,0.081,0.005,0.969
-6.423,1.102,-34.79,0.068,-0.002,1.004
-11.2,2.572,-38.22,0.097,0.009,0.974
-2.975,1.47,-39.025,0.098,-0.008,0.978
-7.403,-2.87,-41.632,0.094,-0.003,0.998
-3.763,1.015,-42.77,0.1,0.003,0.985
-2.45,-0.21,-40.653,0.088,0.001,0.987
5.46,3.605,-39.83,0.087,0.004,1.007
-0.298,3.447,-40.022,0.084,0.014,0.991
-1.925,0.77,-43.05,0.086,0.008,1.008
-9.083,1.645,-47.705,0.068,0.007,1.003
-12.932,3.693,-51.013,0.074,-0.002,0.978
-12.46,-1.768,-51.537,0.083,-0.015,0.983
-7.997,-3.378,-49.682,0.093,-0.037,0.981
-5.582,-1.977,-43.662,0.085,-0.045,0.98
0.788,0.945,-42.158,0.076,-0.019,0.983
7.927,3.815,-51.678,0.06,-0.001,1.016
-1.663,5.372,-61.092,0.106,-0.003,1.017
-7.088,3.465,-69.982,0.057,-0.006,0.973
-6.86,-0.788,-71.488,0.082,-0.056,0.977
-9.1,-5.18,-61.443,0.101,-0.041,1.003
5.845,2.118,-48.458,0.099,-0.071,1.02
24.325,8.977,-23.747,0.091,-0.126,1.117
5.863,6.738,-8.645,0.116,-0.04,0.956
11.078,2.188,-5.512,0.061,-0.03,0.958
10.623,-5.932,-1.768,0.075,-0.027,0.948
11.83,-5.512,6.633,0.07,-0.003,0.958
13.65,12.267,5.443,0.09,0.082,1.017
8.523,12.477,0.735,0.016,0.038,1.01
23.853,13.825,1.207,0.043,0.081,0.973
34.037,19.6,6.142,0.027,0.061,0.996
34.353,20.317,6.878,0.016,0.103,0.97
23.397,13.825,2.03,0.029,0.127,0.982
28.77,18.55,0.805,-0.044,0.157,0.966
33.303,20.808,3.237,-0.025,0.197,0.98
1.855,-0.035,-0.228,-0.168,0.275,1.04
6.51,-0.28,-1.242,0.008,0.167,0.939
-1.942,-0.14,1.312,-0.001,0.207,0.98
0.472,-1.102,-3.01,-0.023,0.214,0.938
0.613,5.145,-9.712,-0.026,0.198,0.908
-0.472,-1.155,-5.758,-0.02,0.232,0.882
3.412,-3.745,14.962,-0.03,0.149,0.88
8.733,-19.11,27.37,0.089,0.04,0.678
2.24,-99.33,47.04,-0.759,-0.366,-0.274
-49.577,-14.455,15.47,0.162,-0.005,0.23
51.713,31.378,-0.123,-0.032,0.103,0.871
-19.145,-17.325,-0.788,0.005,0.213,0.882
-2.52,-4.095,0.455,0.098,0.113,0.795
4.778,1.628,-0.333,0.036,0.197,0.866
2.905,0.945,0.333,0.042,0.196,0.921
-1.295,-2.1,0.437,0.026,0.192,0.963
2.118,0.525,0.105,0.039,0.2,0.973
1.96,0.368,0.175,0.035,0.2,0.977
-0.245,-1.19,0.228,0.035,0.186,0.973
1.925,0.333,0.298,0.037,0.2,0.98
1.418,0.0,0.245,0.034,0.191,0.979
0.63,-0.613,0.175,0.041,0.194,0.967
1.347,-0.105,0.245,0.03,0.19,0.981
1.138,-0.21,0.21,0.041,0.197,0.976
1.067,-0.21,0.192,0.039,0.187,0.977
1.312,-0.105,0.21,0.033,0.199,0.975
1.12,-0.157,0.262,0.038,0.189,0.98
1.155,-0.175,0.333,0.038,0.194,0.977
1.19,-0.262,0.175,0.036,0.191,0.975
1.102,-0.262,0.21,0.035,0.195,0.974
1.225,-0.21,0.262,0.036,0.192,0.974
1.295,-0.21,0.262,0.035,0.194,0.976
1.19,-0.21,0.245,0.041,0.191,0.974
1.347,-0.192,0.228,0.035,0.196,0.976
1.663,0.105,0.123,0.04,0.194,0.975
1.26,-0.21,0.28,0.038,0.193,0.974
1.278,-0.14,0.21,0.038,0.194,0.973
1.207,-0.192,0.228,0.035,0.195,0.977
1.173,-0.192,0.245,0.038,0.192,0.976
1.312,-0.157,0.298,0.036,0.193,0.972
1.242,-0.21,0.245,0.035,0.192,0.976
1.278,-0.192,0.245,0.038,0.197,0.975
1.312,-0.192,0.21,0.037,0.194,0.975
1.12,-0.123,0.228,0.037,0.196,0.977
1.12,-0.123,0.245,0.035,0.19,0.978
1.26,-0.192,0.192,0.037,0.194,0.977
1.19,-0.228,0.28,0.035,0.191,0.975
1.207,-0.123,0.21,0.036,0.195,0.975
1.26,-0.262,0.262,0.036,0.19,0.975
1.138,-0.245,0.175,0.037,0.197,0.976
1.207,-0.14,0.35,0.038,0.192,0.977
1.26,-0.157,0.262,0.036,0.195,0.976
1.278,-0.192,0.298,0.039,0.192,0.975
1.295,-0.087,0.262,0.038,0.192,0.975
1.33,-0.14,0.262,0.036,0.195,0.976
1.26,-0.157,0.123,0.038,0.191,0.977
1.225,-0.175,0.228,0.039,0.192,0.975
1.207,-0.157,0.228,0.037,0.194,0.974
1.225,-0.228,0.192,0.035,0.194,0.976
1.155,-0.105,0.192,0.035,0.193,0.977
1.312,-0.21,0.28,0.036,0.193,0.974
1.33,-0.21,0.175,0.038,0.196,0.974
1.278,-0.21,0.262,0.04,0.193,0.975
1.19,-0.21,0.228,0.039,0.195,0.976
1.207,-0.175,0.262,0.038,0.194,0.974
1.312,-0.192,0.21,0.039,0.192,0.975
1.225,-0.175,0.245,0.038,0.195,0.976
1.225,-0.192,0.157,0.036,0.193,0.976
1.225,-0.105,0.228,0.037,0.194,0.975
1.19,-0.157,0.21,0.039,0.195,0.975
1.19,-0.175,0.245,0.037,0.193,0.977
1.173,-0.21,0.315,0.038,0.192,0.975
1.19,-0.175,0.228,0.038,0.193,0.977
1.19,-0.123,0.245,0.038,0.193,0.977
1.207,-0.21,0.262,0.037,0.194,0.974
1.242,-0.228,0.228,0.038,0.193,0.976
1.207,-0.157,0.21,0.038,0.192,0.975
1.19,-0.21,0.245,0.037,0.194,0.975
1.242,-0.21,0.245,0.038,0.192,0.976
1.242,-0.105,0.245,0.037,0.193,0.974
1.242,-0.262,0.21,0.034,0.192,0.977
1.225,-0.175,0.262,0.041,0.193,0.974
1.33,-0.262,0.157,0.037,0.193,0.975
1.155,-0.333,0.21,0.036,0.191,0.974
1.19,-0.157,0.21,0.038,0.193,0.975
1.173,-0.192,0.245,0.037,0.192,0.976
1.207,-0.175,0.28,0.037,0.193,0.976
1.173,-0.175,0.21,0.034,0.194,0.976
1.225,-0.175,0.228,0.037,0.192,0.976
1.19,-0.123,0.192,0.036,0.193,0.974
1.207,-0.192,0.157,0.038,0.195,0.977
1.19,-0.315,0.228,0.038,0.193,0.976
1.295,-0.21,0.245,0.037,0.194,0.975
1.155,-0.157,0.21,0.039,0.191,0.976
1.225,-0.175,0.262,0.038,0.192,0.974
1.295,-0.175,0.21,0.039,0.194,0.976
1.19,-0.175,0.262,0.038,0.192,0.976
1.26,-0.21,0.298,0.035,0.193,0.975
1.19,-0.157,0.28,0.036,0.192,0.977
1.242,-0.21,0.228,0.036,0.194,0.974
1.295,-0.228,0.228,0.039,0.191,0.976
1.138,-0.14,0.228,0.036,0.193,0.974
1.26,-0.228,0.228,0.038,0.191,0.973
1.242,-0.175,0.21,0.038,0.193,0.974
1.102,-0.07,0.21,0.039,0.194,0.974
1.312,-0.157,0.21,0.037,0.194,0.974
1.295,-0.14,0.245,0.036,0.195,0.977
1.225,-0.192,0.157,0.036,0.191,0.975
1.242,-0.087,0.262,0.036,0.189,0.976
1.347,-0.14,0.28,0.039,0.191,0.977
1.312,-0.192,0.245,0.038,0.194,0.974
1.207,-0.157,0.245,0.039,0.191,0.976
1.278,-0.157,0.192,0.038,0.195,0.976
1.207,-0.21,0.245,0.035,0.194,0.974
1.278,-0.192,0.28,0.038,0.194,0.974
1.242,-0.228,0.228,0.036,0.194,0.974
1.207,-0.21,0.192,0.037,0.193,0.976
1.278,-0.228,0.245,0.036,0.193,0.976
1.33,-0.28,0.315,0.037,0.193,0.977
1.295,-0.228,0.245,0.035,0.193,0.977
1.225,-0.14,0.245,0.04,0.193,0.975
1.173,-0.228,0.21,0.037,0.195,0.975
1.173,-0.245,0.245,0.036,0.193,0.976
1.138,-0.245,0.262,0.038,0.193,0.975
1.173,-0.123,0.262,0.037,0.193,0.972
1.173,-0.192,0.21,0.036,0.193,0.976
1.312,-0.21,0.21,0.038,0.193,0.977
1.225,-0.105,0.228,0.039,0.194,0.978
1.207,-0.228,0.28,0.036,0.193,0.974
1.242,-0.192,0.228,0.037,0.193,0.977
1.26,-0.157,0.28,0.035,0.194,0.976
1.225,-0.228,0.228,0.038,0.193,0.975
1.26,-0.262,0.228,0.038,0.193,0.976
1.155,-0.192,0.21,0.034,0.191,0.976
1.242,-0.14,0.228,0.035,0.193,0.975
1.173,-0.14,0.262,0.039,0.19,0.976
1.155,-0.21,0.245,0.037,0.193,0.976
1.225,-0.175,0.262,0.038,0.193,0.975
1.26,-0.228,0.298,0.038,0.194,0.974
1.295,-0.21,0.228,0.037,0.193,0.976
1.242,-0.21,0.14,0.038,0.194,0.974
1.19,-0.105,0.315,0.038,0.193,0.979
1.207,-0.157,0.192,0.038,0.19,0.977
1.278,-0.123,0.245,0.037,0.195,0.977
1.278,-0.192,0.228,0.04,0.192,0.976
1.278,-0.105,0.21,0.038,0.192,0.976
1.278,-0.175,0.175,0.037,0.192,0.976
1.085,-0.245,0.228,0.037,0.194,0.977
1.173,-0.175,0.245,0.038,0.194,0.975
1.26,-0.21,0.245,0.037,0.196,0.973
1.26,-0.14,0.245,0.04,0.193,0.978
1.242,-0.123,0.228,0.037,0.194,0.975
1.295,-0.14,0.192,0.038,0.193,0.976
1.207,-0.157,0.228,0.037,0.195,0.975
1.173,-0.21,0.262,0.037,0.194,0.977
1.312,-0.14,0.245,0.036,0.192,0.976
1.33,-0.228,0.262,0.037,0.194,0.976
1.225,-0.228,0.192,0.038,0.194,0.976
1.207,-0.157,0.245,0.036,0.192,0.978
1.138,-0.228,0.245,0.037,0.193,0.972
1.207,-0.228,0.28,0.037,0.193,0.974
1.12,-0.262,0.228,0.035,0.192,0.975
1.207,-0.14,0.228,0.037,0.194,0.976
1.33,-0.175,0.262,0.034,0.193,0.976
1.173,-0.245,0.228,0.038,0.191,0.975
1.295,-0.14,0.21,0.036,0.192,0.977
1.365,-0.157,0.245,0.038,0.193,0.974
1.207,-0.123,0.21,0.037,0.193,0.975
1.242,-0.14,0.228,0.038,0.192,0.977
1.225,-0.21,0.192,0.035,0.192,0.974
1.295,-0.157,0.28,0.038,0.194,0.974
1.225,-0.21,0.28,0.037,0.192,0.976
1.242,-0.28,0.21,0.036,0.194,0.976
1.225,-0.175,0.245,0.037,0.193,0.976
1.295,-0.228,0.228,0.037,0.194,0.976
1.225,-0.14,0.228,0.038,0.193,0.977
1.12,-0.21,0.245,0.037,0.195,0.977
1.173,-0.123,0.192,0.036,0.194,0.975
1.173,-0.105,0.228,0.034,0.196,0.974
1.173,-0.228,0.228,0.038,0.19,0.976
1.242,-0.157,0.228,0.036,0.193,0.977
1.278,-0.157,0.228,0.038,0.191,0.976
1.26,-0.228,0.192,0.034,0.193,0.977
1.225,-0.105,0.262,0.036,0.193,0.975
1.26,-0.105,0.245,0.037,0.191,0.976
1.295,-0.228,0.228,0.038,0.194,0.977
1.242,-0.14,0.157,0.039,0.194,0.977
1.26,-0.192,0.228,0.038,0.193,0.978
1.365,-0.14,0.245,0.037,0.194,0.977
1.207,-0.105,0.192,0.037,0.192,0.973
1.312,-0.105,0.245,0.036,0.196,0.974
1.312,-0.175,0.228,0.038,0.194,0.976
1.173,-0.262,0.228,0.035,0.191,0.975
1.26,-0.157,0.228,0.039,0.193,0.975
1.138,-0.228,0.28,0.035,0.196,0.975
1.155,-0.245,0.21,0.036,0.194,0.976
1.173,-0.192,0.245,0.034,0.194,0.977
1.173,-0.175,0.245,0.036,0.193,0.978
1.312,-0.105,0.21,0.038,0.193,0.973
1.347,-0.175,0.28,0.036,0.194,0.975
1.295,-0.123,0.245,0.037,0.192,0.976
1.278,-0.175,0.21,0.038,0.193,0.975
1.383,-0.21,0.192,0.035,0.195,0.976
1.138,-0.228,0.315,0.037,0.194,0.976
1.242,-0.192,0.298,0.037,0.194,0.975
1.347,-0.228,0.28,0.036,0.191,0.976
1.26,-0.07,0.21,0.039,0.194,0.977
1.278,-0.175,0.28,0.037,0.193,0.976
1.278,-0.21,0.262,0.035,0.193,0.976
1.207,-0.157,0.192,0.037,0.193,0.978
1.225,-0.21,0.262,0.038,0.194,0.975
1.225,-0.298,0.245,0.038,0.192,0.975
1.207,-0.157,0.228,0.037,0.193,0.975
1.173,-0.192,0.192,0.039,0.193,0.976
1.225,-0.175,0.28,0.036,0.193,0.975
1.207,-0.28,0.28,0.036,0.194,0.974
1.225,-0.21,0.175,0.04,0.194,0.975
1.173,-0.175,0.228,0.038,0.193,0.975
1.383,-0.175,0.245,0.038,0.194,0.976
1.173,-0.175,0.298,0.036,0.194,0.977
1.278,-0.105,0.262,0.036,0.196,0.974
1.312,-0.175,0.21,0.036,0.192,0.975
1.242,-0.21,0.21,0.039,0.194,0.975
1.26,-0.21,0.262,0.039,0.195,0.975
1.33,-0.157,0.192,0.034,0.193,0.978
1.242,-0.175,0.192,0.037,0.193,0.976
1.26,-0.157,0.228,0.039,0.194,0.974
1.225,-0.192,0.245,0.038,0.193,0.976
1.12,-0.123,0.262,0.036,0.193,0.975
1.138,-0.052,0.28,0.039,0.193,0.976
1.19,-0.157,0.21,0.037,0.196,0.975
1.278,-0.245,0.192,0.036,0.191,0.976
1.278,-0.262,0.228,0.036,0.191,0.976
1.225,-0.175,0.28,0.036,0.193,0.974
1.173,-0.14,0.21,0.036,0.196,0.975
1.12,-0.192,0.245,0.038,0.193,0.976
1.278,-0.175,0.175,0.038,0.193,0.976
1.242,-0.123,0.192,0.038,0.194,0.977
1.26,-0.21,0.192,0.038,0.195,0.975
1.155,-0.157,0.228,0.034,0.193,0.976
1.207,-0.175,0.21,0.036,0.193,0.974
1.26,-0.14,0.228,0.037,0.195,0.976
1.207,-0.105,0.21,0.036,0.19,0.975
1.173,-0.192,0.28,0.035,0.195,0.974
1.207,-0.298,0.245,0.036,0.191,0.975
1.26,-0.21,0.245,0.039,0.196,0.974
1.347,-0.123,0.28,0.037,0.194,0.976
1.242,-0.175,0.21,0.034,0.193,0.976
1.295,-0.14,0.28,0.035,0.193,0.975
1.278,-0.21,0.21,0.036,0.192,0.976
1.278,-0.157,0.262,0.041,0.195,0.977
1.347,-0.175,0.245,0.039,0.191,0.975
1.295,-0.21,0.245,0.034,0.193,0.975
1.173,-0.157,0.228,0.036,0.194,0.977
1.242,-0.157,0.262,0.037,0.194,0.975
1.155,-0.087,0.262,0.038,0.195,0.977
1.19,-0.157,0.192,0.037,0.193,0.975
1.19,-0.21,0.175,0.037,0.195,0.975
1.365,-0.245,0.157,0.037,0.192,0.974
1.12,-0.192,0.192,0.04,0.193,0.975
1.26,-0.192,0.245,0.036,0.193,0.975
1.12,-0.228,0.245,0.039,0.194,0.975
1.155,-0.192,0.245,0.037,0.193,0.976
1.155,-0.157,0.14,0.036,0.195,0.975
1.33,-0.157,0.228,0.039,0.193,0.975
1.155,-0.175,0.262,0.037,0.193,0.976
1.242,-0.228,0.228,0.04,0.192,0.976
1.312,-0.14,0.245,0.035,0.192,0.976
1.312,-0.175,0.21,0.037,0.194,0.976
1.207,-0.123,0.228,0.037,0.194,0.98
1.225,-0.052,0.245,0.037,0.195,0.977
1.242,-0.192,0.21,0.035,0.194,0.975
1.242,-0.21,0.228,0.037,0.193,0.974
1.225,-0.14,0.245,0.037,0.194,0.973
1.225,-0.175,0.262,0.037,0.194,0.976
1.225,-0.245,0.192,0.037,0.194,0.975
1.365,-0.087,0.245,0.036,0.192,0.973
1.242,-0.21,0.228,0.037,0.195,0.976
1.085,-0.262,0.262,0.035,0.195,0.976
1.26,-0.14,0.262,0.036,0.194,0.976
1.26,-0.192,0.175,0.037,0.195,0.976
1.19,-0.21,0.175,0.037,0.196,0.974
1.312,-0.175,0.245,0.036,0.193,0.974
1.347,-0.192,0.175,0.036,0.194,0.976
1.242,-0.192,0.192,0.035,0.193,0.977
1.295,-0.192,0.175,0.038,0.195,0.975
1.242,-0.157,0.298,0.034,0.193,0.974
1.19,-0.175,0.192,0.035,0.194,0.975
1.225,-0.14,0.192,0.035,0.195,0.976
1.12,-0.262,0.14,0.036,0.193,0.974
1.242,-0.157,0.228,0.037,0.194,0.977
1.225,-0.228,0.245,0.037,0.193,0.976
1.26,-0.157,0.228,0.04,0.193,0.974
1.138,-0.192,0.175,0.037,0.192,0.977
1.278,-0.123,0.262,0.036,0.192,0.976
1.26,-0.192,0.21,0.04,0.193,0.974
1.225,-0.157,0.228,0.039,0.195,0.975
1.207,-0.14,0.175,0.037,0.195,0.976
1.19,-0.14,0.245,0.038,0.192,0.976
1.242,-0.175,0.245,0.039,0.193,0.977
1.26,-0.14,0.262,0.038,0.193,0.975
1.278,-0.228,0.28,0.036,0.196,0.974
1.173,-0.192,0.28,0.037,0.193,0.975
1.225,-0.087,0.228,0.034,0.192,0.976
1.207,-0.21,0.245,0.037,0.192,0.975
1.207,-0.228,0.228,0.036,0.196,0.976
1.33,-0.14,0.228,0.037,0.193,0.975
1.225,-0.175,0.192,0.036,0.193,0.974
1.33,-0.123,0.262,0.038,0.192,0.976
1.278,-0.21,0.228,0.036,0.193,0.977
1.19,-0.123,0.228,0.036,0.192,0.976
1.33,-0.262,0.192,0.038,0.194,0.976
1.242,-0.175,0.28,0.039,0.194,0.975
1.242,-0.245,0.35,0.037,0.195,0.974
1.312,-0.035,0.245,0.038,0.192,0.976
1.155,-0.157,0.228,0.035,0.195,0.974
1.225,-0.157,0.245,0.037,0.194,0.976
1.19,-0.087,0.21,0.036,0.195,0.976
1.242,-0.245,0.228,0.034,0.194,0.974
1.155,-0.262,0.192,0.036,0.193,0.975
1.33,-0.157,0.228,0.037,0.195,0.976
1.278,-0.245,0.175,0.035,0.196,0.975
1.26,-0.192,0.21,0.036,0.194,0.975
1.242,-0.175,0.245,0.037,0.193,0.974
1.207,-0.21,0.245,0.035,0.193,0.972
1.225,-0.14,0.245,0.037,0.192,0.975
1.19,-0.262,0.21,0.035,0.194,0.976
1.242,-0.192,0.228,0.036,0.191,0.974
1.173,-0.28,0.21,0.035,0.195,0.976
1.278,-0.123,0.245,0.037,0.192,0.976
1.225,-0.123,0.262,0.038,0.194,0.974
1.207,-0.14,0.262,0.038,0.192,0.975
1.312,-0.192,0.28,0.037,0.194,0.976
1.155,-0.245,0.228,0.037,0.193,0.973
1.155,-0.245,0.228,0.037,0.191,0.973
1.19,-0.175,0.245,0.036,0.193,0.973
1.295,-0.192,0.192,0.039,0.193,0.974
1.242,-0.175,0.245,0.037,0.192,0.973
1.207,-0.157,0.262,0.037,0.193,0.974
1.278,-0.14,0.228,0.037,0.193,0.976
1.225,-0.123,0.175,0.037,0.194,0.978
1.312,-0.14,0.245,0.039,0.193,0.976
1.242,-0.157,0.262,0.033,0.191,0.973
1.173,-0.192,0.262,0.036,0.196,0.976
1.26,-0.21,0.245,0.036,0.192,0.976
1.312,-0.21,0.228,0.035,0.196,0.977
1.225,-0.192,0.228,0.035,0.192,0.977
1.278,-0.175,0.228,0.035,0.193,0.974
1.278,-0.157,0.245,0.037,0.194,0.976
1.207,-0.245,0.175,0.035,0.194,0.975
1.278,-0.245,0.28,0.035,0.194,0.975
1.312,-0.14,0.192,0.038,0.195,0.976
1.138,-0.105,0.28,0.037,0.193,0.976
1.26,-0.14,0.228,0.034,0.194,0.976
1.33,-0.262,0.228,0.037,0.193,0.975
1.347,-0.245,0.245,0.039,0.193,0.974
1.26,-0.14,0.21,0.038,0.195,0.977
1.295,-0.245,0.21,0.037,0.193,0.975
1.225,-0.175,0.245,0.037,0.193,0.978
1.242,-0.192,0.262,0.039,0.196,0.977
1.26,-0.228,0.228,0.039,0.194,0.976
1.242,-0.14,0.192,0.038,0.193,0.974
1.278,-0.175,0.262,0.035,0.193,0.973
1.138,-0.14,0.228,0.035,0.193,0.973
1.067,-0.175,0.245,0.036,0.193,0.976
1.26,-0.228,0.21,0.036,0.191,0.978
1.242,-0.228,0.262,0.038,0.194,0.974
1.295,-0.157,0.228,0.036,0.193,0.974
1.242,-0.14,0.228,0.035,0.195,0.976
1.295,-0.175,0.262,0.038,0.193,0.976
1.155,-0.192,0.245,0.038,0.194,0.975
1.242,-0.228,0.192,0.038,0.193,0.977
1.207,-0.262,0.245,0.038,0.194,0.976
1.278,-0.21,0.245,0.039,0.194,0.974
1.26,-0.123,0.192,0.039,0.192,0.978
1.365,-0.157,0.262,0.037,0.193,0.976
1.225,-0.157,0.157,0.036,0.193,0.975
1.19,-0.228,0.245,0.037,0.194,0.977
1.173,-0.21,0.192,0.037,0.193,0.976
1.225,-0.192,0.228,0.038,0.193,0.977
1.173,-0.21,0.298,0.036,0.193,0.976
1.19,-0.14,0.228,0.036,0.194,0.976
1.19,-0.298,0.228,0.039,0.193,0.975
1.207,-0.228,0.192,0.034,0.193,0.975
1.173,-0.192,0.192,0.036,0.194,0.976
1.242,-0.175,0.192,0.036,0.193,0.976
1.19,-0.21,0.192,0.038,0.192,0.973
1.26,-0.175,0.262,0.034,0.193,0.976
1.225,-0.175,0.262,0.038,0.194,0.977
1.207,-0.21,0.262,0.039,0.194,0.976
1.207,-0.157,0.298,0.037,0.191,0.975
1.242,-0.123,0.245,0.035,0.194,0.976
1.242,-0.157,0.192,0.033,0.194,0.977
1.19,-0.157,0.192,0.035,0.193,0.974
1.26,-0.175,0.28,0.037,0.192,0.976
1.19,-0.245,0.368,0.035,0.193,0.976
1.207,-0.228,0.315,0.037,0.192,0.973
1.207,-0.192,0.262,0.036,0.192,0.975
1.207,-0.123,0.175,0.039,0.191,0.976
1.207,-0.245,0.175,0.033,0.193,0.975
1.278,-0.21,0.245,0.038,0.195,0.974
1.278,-0.123,0.192,0.038,0.195,0.976
1.225,-0.175,0.192,0.037,0.191,0.975
1.295,-0.192,0.262,0.037,0.195,0.976
1.278,-0.105,0.262,0.038,0.194,0.977
1.242,-0.175,0.262,0.036,0.196,0.976
1.278,-0.175,0.262,0.038,0.191,0.975
1.295,-0.07,0.228,0.036,0.194,0.974
1.19,-0.175,0.262,0.037,0.193,0.975
1.12,-0.14,0.21,0.036,0.197,0.976
1.173,-0.245,0.21,0.037,0.193,0.975
1.26,-0.175,0.192,0.038,0.193,0.974
1.155,-0.175,0.262,0.04,0.195,0.976
1.26,-0.228,0.21,0.035,0.196,0.973
1.295,-0.157,0.262,0.036,0.193,0.976
1.33,-0.192,0.245,0.037,0.193,0.977
1.278,-0.123,0.245,0.035,0.192,0.973
1.225,-0.21,0.21,0.036,0.195,0.976
1.295,-0.105,0.245,0.038,0.194,0.975
1.207,-0.21,0.228,0.037,0.194,0.977
1.278,-0.105,0.262,0.033,0.196,0.977
1.242,-0.228,0.262,0.036,0.192,0.976
1.12,-0.245,0.28,0.038,0.193,0.975
1.173,-0.192,0.245,0.036,0.194,0.977
1.26,-0.245,0.21,0.038,0.195,0.974
1.225,-0.175,0.21,0.036,0.195,0.976
1.225,-0.175,0.245,0.035,0.193,0.977
1.242,-0.192,0.245,0.037,0.194,0.974
1.207,-0.175,0.28,0.039,0.191,0.976
1.225,-0.262,0.192,0.037,0.193,0.976
1.173,-0.21,0.21,0.036,0.191,0.976
1.225,-0.157,0.228,0.037,0.193,0.973
1.33,-0.245,0.245,0.037,0.196,0.975
1.26,-0.175,0.28,0.04,0.19,0.974
1.207,-0.21,0.192,0.036,0.193,0.976
1.207,-0.157,0.192,0.036,0.195,0.976
1.155,-0.157,0.228,0.038,0.194,0.975
1.295,-0.157,0.28,0.038,0.193,0.975
1.312,-0.14,0.21,0.037,0.194,0.976
1.207,-0.157,0.228,0.041,0.192,0.975
1.242,-0.175,0.245,0.036,0.195,0.974
1.26,-0.21,0.175,0.037,0.191,0.975
1.102,-0.21,0.192,0.036,0.193,0.975
1.242,-0.192,0.123,0.036,0.194,0.976
1.295,-0.192,0.21,0.039,0.193,0.973
1.033,-0.228,0.245,0.037,0.193,0.978
1.295,-0.192,0.228,0.035,0.193,0.976
1.225,-0.192,0.192,0.041,0.193,0.975
1.19,-0.192,0.192,0.038,0.194,0.977
1.173,-0.262,0.245,0.035,0.195,0.974
1.173,-0.07,0.21,0.037,0.197,0.974
1.278,-0.21,0.262,0.036,0.193,0.974
1.155,-0.228,0.175,0.037,0.191,0.976
1.242,-0.245,0.262,0.039,0.191,0.972
1.138,-0.105,0.245,0.039,0.193,0.975
1.173,-0.175,0.175,0.038,0.193,0.977
1.33,-0.087,0.245,0.037,0.194,0.974
